Sector,City,Startup_Name,Founded_Year,Funding_Amount,Funding_Rounds,Investor_Count,Team_Size,Revenue,Profit_Margin,Customer_Count,Growth_Rate,Founder_Experience,Market_Size,Predicti2n
FinTech,Bangalore,FinTechCo,2015,5000000,3,5,50,10000000,20,200000,30,15,500000000,2
EdTech,Mumbai,EduStart,2018,1000000,2,3,20,2000000,10,50000,15,8,200000000,1
HealthTech,Delhi,HealthInc,2016,3000000,4,4,30,5000000,5,100000,20,10,800000000,0
AgriTech,Hyderabad,AgriGrow,2017,500000,1,2,10,1000000,15,30000,25,12,100000000,1
Logistics,Pune,LogiTech,2014,10000000,5,7,100,20000000,25,500000,35,20,300000000,2
FoodTech,Chennai,Foodies,2019,750000,2,3,15,800000,-5,10000,5,5,150000000,0
CleanTech,Jaipur,CleanEnergy,2015,2500000,3,4,40,4000000,10,80000,18,18,400000000,2
E-commerce,Kolkata,RetailWave,2016,1500000,2,3,25,3000000,8,60000,12,7,350000000,1
AutoTech,Bangalore,AutoDrive,2014,7000000,4,5,70,12000000,15,300000,25,12,600000000,1
HealthTech,Delhi,MediCare,2017,2000000,3,3,25,3500000,7,90000,20,10,800000000,1
CleanTech,Pune,GreenTech,2013,4500000,3,6,45,8500000,18,175000,22,16,450000000,2
EdTech,Bangalore,QuickTeach,2016,2000000,2,4,25,2200000,12,55000,17,9,250000000,1
HealthTech,Mumbai,MedLife,2014,5000000,4,5,35,9500000,15,185000,21,14,750000000,2
AgriTech,Hyderabad,AgriBoost,2017,750000,1,2,15,1200000,10,32000,19,11,110000000,1
Logistics,Chennai,LogiEase,2015,6000000,5,7,90,18000000,20,450000,33,18,320000000,2
FoodTech,Jaipur,FoodJoy,2018,900000,2,3,12,900000,-2,15000,7,6,130000000,0
CleanTech,Delhi,PowerUp,2015,3000000,3,4,38,6000000,12,95000,16,17,420000000,2
E-commerce,Kolkata,ShopEasy,2016,1800000,2,3,28,3500000,9,70000,14,8,370000000,1
AutoTech,Bangalore,DriveSafe,2014,8000000,4,5,68,13000000,13,275000,23,11,650000000,1
HealthTech,Delhi,WellnessPlus,2017,2500000,3,3,26,3700000,6,95000,19,10,820000000,1
FinTech,Mumbai,FinEasy,2016,3200000,3,4,52,7200000,19,140000,25,14,510000000,2
EdTech,Hyderabad,LearnHub,2019,1100000,2,3,22,1800000,8,43000,12,7,220000000,1
HealthTech,Bangalore,HealthFirst,2015,4500000,4,5,32,8500000,14,190000,18,13,780000000,2
AgriTech,Jaipur,AgriSmart,2018,600000,1,2,14,1100000,11,29000,16,9,120000000,1
Logistics,Chennai,TransLog,2014,7000000,5,7,98,19500000,24,475000,30,19,310000000,2
FoodTech,Pune,FoodFun,2017,850000,2,3,16,1100000,-3,14000,8,6,140000000,0
CleanTech,Kolkata,EnergySave,2015,2800000,3,4,42,6200000,11,89000,17,16,400000000,2
E-commerce,Mumbai,ShopWorld,2016,1700000,2,3,26,3400000,8,65000,15,8,360000000,1
AutoTech,Delhi,DriveMate,2014,7600000,4,5,72,12400000,14,265000,24,12,630000000,1
HealthTech,Hyderabad,LifeCare,2017,2300000,3,3,28,3600000,5,85000,18,10,800000000,1
FinTech,Bangalore,CashFlow,2016,3500000,3,4,54,7800000,20,150000,26,15,520000000,2
EdTech,Jaipur,TutorPro,2018,1000000,2,3,24,2000000,9,46000,14,7,230000000,1
HealthTech,Mumbai,HealthPro,2015,4200000,4,5,34,8300000,13,180000,20,14,770000000,2
AgriTech,Chennai,AgriPro,2017,550000,1,2,18,1000000,10,31000,18,12,110000000,1
Logistics,Kolkata,FastLog,2014,7500000,5,7,94,18500000,23,460000,32,20,320000000,2
FoodTech,Pune,FoodPal,2018,950000,2,3,18,1000000,-4,13000,7,5,130000000,0
CleanTech,Delhi,GreenSave,2015,3100000,3,4,40,6500000,12,92000,17,17,410000000,2
E-commerce,Hyderabad,EasyShop,2016,1600000,2,3,30,3300000,7,62000,13,8,350000000,1
AutoTech,Chennai,DrivePro,2014,7200000,4,5,70,11800000,15,255000,23,13,610000000,1
HealthTech,Jaipur,HealthGuard,2017,2200000,3,3,27,3500000,6,82000,19,11,790000000,1
FinTech,Kolkata,MoneyGrow,2016,3300000,3,4,55,7400000,18,145000,25,16,530000000,2
EdTech,Mumbai,TeachWell,2019,1050000,2,3,20,1700000,7,44000,11,6,210000000,1
HealthTech,Delhi,HealthZone,2015,4300000,4,5,33,8200000,12,185000,20,13,760000000,2
AgriTech,Pune,AgriGrowth,2018,520000,1,2,19,950000,9,28000,17,10,100000000,1
Logistics,Hyderabad,TransEase,2014,7200000,5,7,96,17500000,22,450000,31,21,300000000,2
FoodTech,Kolkata,FoodDelight,2017,820000,2,3,14,900000,-6,12000,6,5,120000000,0
CleanTech,Bangalore,SolarSave,2015,2700000,3,4,41,6100000,11,87000,16,18,390000000,2
E-commerce,Jaipur,ShopQuick,2016,1500000,2,3,29,3100000,6,60000,12,8,340000000,1
AutoTech,Pune,DriveEase,2014,6900000,4,5,74,11200000,14,245000,22,12,590000000,1
HealthTech,Delhi,HealthSecure,2017,2100000,3,3,30,3400000,5,80000,18,11,770000000,1
FinTech,Chennai,FinanceBuddy,2016,3100000,3,4,57,7000000,17,135000,24,15,500000000,2
EdTech,Hyderabad,LearnMate,2019,980000,2,3,22,1600000,8,42000,10,6,200000000,1
HealthTech,Bangalore,HealthAid,2015,4100000,4,5,36,8000000,11,180000,19,14,740000000,2
AgriTech,Mumbai,AgriWise,2018,480000,1,2,16,900000,8,27000,16,9,90000000,1
Logistics,Delhi,LogiSmart,2014,6800000,5,7,92,16500000,21,440000,30,22,280000000,2
FoodTech,Pune,FoodFest,2017,890000,2,3,17,950000,-7,11000,5,5,110000000,0
CleanTech,Hyderabad,EnergyPlus,2015,2900000,3,4,39,5900000,10,84000,15,17,380000000,2
E-commerce,Jaipur,ShopEase,2016,1400000,2,3,31,3000000,7,58000,11,8,330000000,1
AutoTech,Kolkata,DriveFast,2014,6700000,4,5,76,10600000,16,235000,21,13,570000000,1
HealthTech,Bangalore,HealthCare,2017,2000000,3,3,32,3300000,5,78000,17,11,750000000,1
FinTech,Delhi,EasyFinance,2016,3400000,3,4,53,6800000,19,130000,23,14,490000000,2
EdTech,Mumbai,TutorWise,2019,1020000,2,3,21,1500000,9,40000,11,7,190000000,1
HealthTech,Chennai,HealthCure,2015,4000000,4,5,37,7800000,10,175000,18,13,720000000,2
AgriTech,Bangalore,AgriPro,2018,500000,1,2,15,850000,7,26000,15,10,80000000,1
Logistics,Hyderabad,TransPro,2014,6600000,5,7,90,15500000,20,430000,29,23,260000000,2
FoodTech,Jaipur,FoodLovers,2017,860000,2,3,19,900000,-8,10000,4,4,100000000,0
CleanTech,Pune,SolarTech,2015,2800000,3,4,43,5700000,9,82000,14,18,370000000,2
E-commerce,Chennai,ShopPro,2016,1300000,2,3,32,2900000,6,56000,10,8,320000000,1
AutoTech,Hyderabad,DriveQuick,2014,6400000,4,5,78,10000000,17,225000,20,14,550000000,1
HealthTech,Kolkata,HealthPlus,2017,1900000,3,3,34,3200000,4,76000,16,12,730000000,1
FinTech,Bangalore,FinanceHub,2016,3000000,3,4,56,6600000,18,125000,22,13,470000000,2
EdTech,Delhi,LearnQuick,2019,950000,2,3,23,1400000,9,38000,9,6,180000000,1
HealthTech,Mumbai,HealthAid,2015,3900000,4,5,38,7600000,9,170000,17,14,700000000,2
AgriTech,Chennai,AgriPlus,2018,470000,1,2,17,800000,8,25000,14,9,70000000,1
Logistics,Bangalore,LogiExpress,2014,6400000,5,7,88,14500000,19,420000,28,24,240000000,2
FoodTech,Hyderabad,FoodExpress,2017,830000,2,3,20,850000,-9,9000,3,4,90000000,0
CleanTech,Jaipur,EnergyTech,2015,2700000,3,4,45,5500000,8,80000,13,19,360000000,2
E-commerce,Pune,ShopWave,2016,1200000,2,3,34,2800000,5,54000,9,8,310000000,1
AutoTech,Kolkata,DriveExpress,2014,6100000,4,5,80,9400000,18,215000,19,15,530000000,1
HealthTech,Mumbai,HealthSecure,2017,1800000,3,3,36,3100000,4,74000,15,12,710000000,1
FinTech,Delhi,FinancePro,2016,2900000,3,4,58,6400000,17,120000,21,12,450000000,2
EdTech,Pune,LearnSmart,2019,920000,2,3,24,1300000,8,36000,8,6,170000000,1
HealthTech,Bangalore,HealthCare,2015,3800000,4,5,40,7400000,8,165000,16,15,680000000,2
AgriTech,Hyderabad,AgriGrow,2018,450000,1,2,18,750000,7,24000,13,10,60000000,1
Logistics,Jaipur,QuickTrans,2014,6200000,5,7,86,13500000,18,410000,27,25,220000000,2
FoodTech,Kolkata,FoodFun,2017,800000,2,3,22,800000,-10,8000,2,3,80000000,0
CleanTech,Chennai,SolarSmart,2015,2600000,3,4,47,5300000,7,78000,12,19,350000000,2
E-commerce,Delhi,ShopSmart,2016,1100000,2,3,36,2700000,4,52000,8,8,300000000,1
AutoTech,Hyderabad,DriveSmart,2014,5900000,4,5,82,8800000,19,205000,18,16,510000000,1
HealthTech,Jaipur,HealthPro,2017,1700000,3,3,38,3000000,3,72000,14,13,690000000,1
FinTech,Kolkata,MoneySave,2016,2800000,3,4,60,6200000,16,115000,20,11,430000000,2
EdTech,Mumbai,LearnEasy,2019,890000,2,3,25,1200000,7,34000,7,6,160000000,1
HealthTech,Pune,HealthZone,2015,3700000,4,5,42,7200000,7,160000,15,15,660000000,2
AgriTech,Bangalore,AgriTech,2018,430000,1,2,19,700000,6,23000,12,9,50000000,1
Logistics,Hyderabad,ExpressLog,2014,6000000,5,7,84,12500000,17,400000,26,26,200000000,2
FoodTech,Chennai,FoodHeaven,2017,770000,2,3,24,750000,-11,7000,1,3,70000000,0
CleanTech,Jaipur,EnergyWise,2015,2500000,3,4,49,5100000,6,76000,11,20,340000000,2
E-commerce,Pune,ShopHub,2016,1000000,2,3,38,2600000,3,50000,7,8,290000000,1
AutoTech,Mumbai,DrivePro,2014,5700000,4,5,84,8200000,20,195000,17,16,490000000,1
HealthTech,Delhi,HealthAid,2017,1600000,3,3,40,2900000,2,70000,13,14,670000000,1
FinTech,Chennai,EasyMoney,2016,2700000,3,4,62,6000000,15,110000,19,10,410000000,2
EdTech,Hyderabad,TeachNow,2019,860000,2,3,26,1100000,7,32000,6,6,150000000,1
HealthTech,Jaipur,HealthPlus,2015,3600000,4,5,44,7000000,6,155000,14,16,640000000,2
AgriTech,Chennai,AgriBoost,2018,410000,1,2,20,650000,5,22000,11,8,40000000,1
Logistics,Delhi,LogiLink,2014,5800000,5,7,82,11500000,16,390000,25,27,180000000,2
FoodTech,Pune,FoodFiesta,2017,740000,2,3,26,700000,-12,6000,0,2,60000000,0
CleanTech,Mumbai,EnergyBoost,2015,2400000,3,4,51,4900000,5,74000,10,20,330000000,2
E-commerce,Hyderabad,ShopLink,2016,900000,2,3,40,2500000,2,48000,6,8,280000000,1
AutoTech,Chennai,DriveLink,2014,5500000,4,5,86,7600000,21,185000,16,17,470000000,1
HealthTech,Bangalore,HealthCare,2017,1500000,3,3,42,2800000,1,68000,12,15,650000000,1
FinTech,Delhi,FinanceHub,2016,2600000,3,4,64,5800000,14,105000,18,9,390000000,2
EdTech,Mumbai,LearnLink,2019,830000,2,3,28,1000000,7,30000,5,5,140000000,1
HealthTech,Hyderabad,HealthGuard,2015,3500000,4,5,46,6800000,5,150000,13,17,630000000,2
AgriTech,Pune,AgriGrowth,2018,390000,1,2,21,600000,4,21000,10,7,30000000,1
Logistics,Bangalore,QuickLog,2014,5600000,5,7,80,10500000,15,380000,24,28,160000000,2
FoodTech,Hyderabad,Foodie,2017,710000,2,3,28,650000,-13,5000,-1,2,50000000,0
CleanTech,Jaipur,SolarLink,2015,2300000,3,4,53,4700000,4,72000,9,21,320000000,2
E-commerce,Delhi,ShopEase,2016,800000,2,3,42,2400000,1,46000,5,8,270000000,1
AutoTech,Mumbai,DriveWave,2014,5300000,4,5,88,7000000,22,175000,15,17,450000000,1
HealthTech,Jaipur,HealthPro,2017,1400000,3,3,44,2700000,0,66000,11,16,630000000,1
FinTech,Chennai,FinFast,2016,2500000,3,4,66,5600000,13,100000,17,8,370000000,2
EdTech,Pune,LearnEase,2019,800000,2,3,30,900000,7,28000,4,5,130000000,1
HealthTech,Bangalore,HealthCare,2015,3400000,4,5,48,6600000,4,145000,12,17,610000000,2
AgriTech,Hyderabad,AgriStart,2018,370000,1,2,22,550000,3,20000,9,7,20000000,1
Logistics,Jaipur,LogiWave,2014,5400000,5,7,78,9500000,14,370000,23,29,140000000,2
FoodTech,Mumbai,FoodieHub,2017,680000,2,3,30,600000,-14,4000,-2,1,40000000,0
CleanTech,Chennai,SolarWave,2015,2200000,3,4,55,4500000,3,70000,8,21,310000000,2
E-commerce,Pune,ShopHub,2016,700000,2,3,44,2300000,0,44000,4,8,260000000,1
AutoTech,Delhi,DriveHub,2014,5100000,4,5,90,6400000,23,165000,14,17,430000000,1
HealthTech,Hyderabad,HealthAid,2017,1300000,3,3,46,2600000,-1,64000,10,16,610000000,1
FinTech,Jaipur,FinPro,2016,2400000,3,4,68,5400000,12,95000,16,7,350000000,2
EdTech,Delhi,LearnHub,2019,770000,2,3,32,800000,6,26000,3,5,120000000,1
HealthTech,Mumbai,HealthFirst,2015,3300000,4,5,50,6400000,3,140000,11,17,590000000,2
AgriTech,Chennai,AgriLink,2018,350000,1,2,23,500000,2,19000,8,6,10000000,1
Logistics,Bangalore,TransEase,2014,5200000,5,7,76,8500000,13,360000,22,30,120000000,2
FoodTech,Pune,FoodJoy,2017,650000,2,3,32,550000,-15,3000,-3,1,30000000,0
CleanTech,Mumbai,EnergyWave,2015,2100000,3,4,57,4300000,2,68000,7,22,300000000,2
E-commerce,Hyderabad,ShopLink,2016,600000,2,3,46,2200000,0,42000,3,8,250000000,1
AutoTech,Chennai,DriveLink,2014,4900000,4,5,92,5800000,24,155000,13,18,410000000,1
HealthTech,Delhi,HealthCure,2017,1100000,3,3,48,2500000,-2,62000,9,17,590000000,1
FinTech,Mumbai,MoneyPro,2016,2300000,3,4,70,5200000,11,90000,15,6,330000000,2
EdTech,Chennai,LearnFast,2019,740000,2,3,34,700000,5,24000,2,4,110000000,1
HealthTech,Hyderabad,HealthSecure,2015,3200000,4,5,52,6200000,2,135000,10,18,570000000,2
AgriTech,Delhi,AgriWave,2018,330000,1,2,24,450000,1,18000,7,6,10000000,1
Logistics,Delhi,LogiQuick,2014,5000000,5,7,74,7500000,12,350000,21,31,100000000,2
FoodTech,Jaipur,FoodWise,2017,620000,2,3,34,500000,-16,2000,-4,1,20000000,0
CleanTech,Pune,SolarWise,2015,2000000,3,4,59,4100000,1,66000,6,22,290000000,2
E-commerce,Mumbai,ShopWave,2016,500000,2,3,48,2100000,-1,40000,2,8,240000000,1
AutoTech,Delhi,DriveSmart,2014,4700000,4,5,94,5200000,25,145000,12,18,390000000,1
HealthTech,Bangalore,HealthGuard,2017,1000000,3,3,50,2400000,-3,60000,8,17,570000000,1
FinTech,Hyderabad,EasyPay,2016,2200000,3,4,72,5000000,10,85000,14,5,310000000,2
EdTech,Delhi,LearnWise,2019,710000,2,3,36,600000,4,22000,1,4,100000000,1
HealthTech,Hyderabad,HealthPro,2015,3100000,4,5,54,6000000,1,130000,9,18,550000000,2
AgriTech,Pune,AgriHub,2018,310000,1,2,26,400000,0,17000,6,5,0,1
Logistics,Jaipur,QuickLogi,2014,4800000,5,7,72,6500000,11,340000,20,32,80000000,2
FoodTech,Mumbai,FoodWorld,2017,590000,2,3,36,450000,-17,1000,-5,1,10000000,0
CleanTech,Delhi,SolarPower,2015,1900000,3,4,61,3900000,0,64000,5,23,280000000,2
E-commerce,Pune,ShopNow,2016,400000,2,3,50,2000000,-2,38000,1,8,230000000,1
AutoTech,Jaipur,DriveEasy,2014,4500000,4,5,96,4600000,26,135000,11,19,370000000,1
HealthTech,Bangalore,HealthSecure,2017,700000,3,3,52,2200000,-4,58000,6,17,550000000,1
FinTech,Hyderabad,FinanceHub,2016,2100000,3,4,74,4800000,9,80000,13,4,290000000,2
EdTech,Jaipur,LearnSmart,2019,680000,2,3,38,500000,4,20000,0,4,90000000,1
HealthTech,Delhi,HealthAid,2015,3000000,4,5,56,5800000,0,125000,8,18,530000000,2
AgriTech,Mumbai,AgriWorld,2018,290000,1,2,28,350000,-1,16000,5,5,0,1
Logistics,Delhi,TransHub,2014,4600000,5,7,70,5500000,10,330000,19,33,60000000,2
FoodTech,Pune,FoodCart,2017,560000,2,3,38,400000,-18,0,-7,1,0,0
CleanTech,Delhi,EnergyFirst,2015,1800000,3,4,63,3700000,-1,62000,4,24,270000000,2
E-commerce,Mumbai,ShopZone,2016,300000,2,3,52,1900000,-3,36000,0,8,220000000,1
AutoTech,Hyderabad,DriveFast,2014,4300000,4,5,98,4000000,27,125000,10,20,350000000,1
HealthTech,Bangalore,HealthPlus,2017,600000,3,3,54,2000000,-5,54000,4,17,530000000,1
FinTech,Delhi,FinancePro,2016,2000000,3,4,76,4600000,8,75000,12,3,270000000,2
EdTech,Chennai,LearnHub,2019,650000,2,3,40,400000,3,18000,-1,4,80000000,1
HealthTech,Hyderabad,HealthGuard,2015,2900000,4,5,58,5400000,-1,120000,7,18,510000000,2
AgriTech,Delhi,AgriSmart,2018,270000,1,2,30,300000,-2,15000,4,4,0,1
Logistics,Hyderabad,QuickTrans,2014,4400000,5,7,68,4500000,9,320000,18,34,40000000,2
FoodTech,Bangalore,FoodFast,2017,530000,2,3,40,350000,-19,-1000,-9,1,0,0
CleanTech,Delhi,SolarEase,2015,1700000,3,4,65,3500000,-2,60000,3,25,260000000,2
E-commerce,Mumbai,ShopQuick,2016,200000,2,3,54,1800000,-4,34000,-1,8,210000000,1
AutoTech,Delhi,DriveWise,2014,4100000,4,5,100,3400000,28,115000,9,21,330000000,1
HealthTech,Pune,HealthAid,2017,500000,3,3,56,1800000,-6,50000,2,17,510000000,1
FinTech,Delhi,FinanceSmart,2016,1900000,3,4,78,4400000,7,70000,11,2,250000000,2
EdTech,Mumbai,LearnFirst,2019,620000,2,3,42,300000,2,16000,-2,4,70000000,1
HealthTech,Chennai,HealthCure,2015,2800000,4,5,60,5000000,-2,115000,6,18,490000000,2
AgriTech,Pune,AgriEase,2018,250000,1,2,32,250000,-3,14000,3,3,0,1
Logistics,Delhi,TransWise,2014,4200000,5,7,66,3500000,8,310000,17,35,20000000,2
FoodTech,Bangalore,FoodHeaven,2017,470000,2,3,42,300000,-20,-2000,-11,1,0,0
CleanTech,Delhi,EnergyWise,2015,1600000,3,4,67,3300000,-3,58000,2,26,250000000,2
E-commerce,Hyderabad,ShopEase,2016,100000,2,3,56,1700000,-5,32000,-2,8,200000000,1
AutoTech,Delhi,DriveFirst,2014,3900000,4,5,102,2800000,29,105000,8,21,310000000,1
HealthTech,Mumbai,HealthCare,2017,400000,3,3,58,1600000,-7,46000,0,17,490000000,1
FinTech,Delhi,FinanceEase,2016,1800000,3,4,80,4200000,6,65000,10,1,230000000,2
EdTech,Jaipur,LearnWise,2019,590000,2,3,44,200000,1,14000,-3,4,60000000,1
HealthTech,Pune,HealthPlus,2015,2700000,4,5,62,4600000,-2,110000,5,18,470000000,2
AgriTech,Bangalore,AgriFirst,2018,230000,1,2,34,200000,-4,13000,2,3,0,1
Logistics,Delhi,QuickHub,2014,4000000,5,7,64,2500000,7,300000,16,36,0,2
FoodTech,Hyderabad,FoodLink,2017,440000,2,3,44,250000,-21,-3000,-13,1,0,0
CleanTech,Chennai,SolarLink,2015,1500000,3,4,69,3100000,-4,56000,1,27,240000000,2
E-commerce,Delhi,ShopSmart,2016,0,2,3,58,1600000,-6,30000,-3,8,190000000,1
AutoTech,Delhi,DriveLink,2014,3700000,4,5,104,2200000,30,95000,7,21,290000000,1
HealthTech,Pune,HealthCare,2017,300000,3,3,60,1400000,-8,42000,-1,17,470000000,1
